"filename", "language", "TypeScript", "Svelte", "XML", "Python", "JSON", "CSV", "PostCSS", "comment", "blank", "total"
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/depreciated/fsmHGraphBuilder.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 4, 50
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/depreciated/fsmHierarchicalViewer.svelte", "Svelte", 0, 1188, 0, 0, 0, 0, 0, 0, 196, 1384
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/depreciated/fsmToBeHacked.svelte", "Svelte", 0, 763, 0, 0, 0, 0, 0, 0, 121, 884
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/depreciated/fsmView.svelte", "Svelte", 0, 198, 0, 0, 0, 0, 0, 0, 32, 230
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/depreciated/markovView.svelte", "Svelte", 0, 280, 0, 0, 0, 0, 0, 0, 42, 322
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmLayoutPositions.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 7, 41, 217
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmRectangleUtilityHelpers.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 1, 13, 125
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmRendering.ts", "TypeScript", 258, 0, 0, 0, 0, 0, 0, 41, 50, 349
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmSVGSetup.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmSubgraphExpansion.ts", "TypeScript", 221, 0, 0, 0, 0, 0, 0, 6, 27, 254
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmSubgraphLayoutCA.ts", "TypeScript", 205, 0, 0, 0, 0, 0, 0, 9, 22, 236
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmViewer.svelte", "Svelte", 0, 301, 0, 0, 0, 0, 0, 0, 38, 339
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/pathwalk.ts", "TypeScript", 105, 0, 0, 0, 0, 0, 0, 4, 15, 124
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/screenControls.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 6, 4, 40
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/interactive/preprocess_ted.py", "Python", 0, 0, 0, 63, 0, 0, 0, 1, 10, 74
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/markovHierarchicalViewer.svelte", "Svelte", 0, 575, 0, 0, 0, 0, 0, 11, 69, 655
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/pageIntro.svelte", "Svelte", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/collapse.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 1, 10, 54
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/graphRendering.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 10, 86
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/lifecycle.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/tmpoldhm.svelte", "Svelte", 0, 828, 0, 0, 0, 0, 0, 0, 80, 908
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/caFSM.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 10, 55
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/caLetterMarkov.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 13, 40
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/ca_letters_markov.json", "JSON", 0, 0, 0, 0, 91, 0, 0, 0, 0, 91
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/ca_markov.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/cam_letters/camFSM.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 1, 21, 92
