name,n,ms
fsm:buildBase:reset_graph,1000,0
fsm:buildBaseGraph:gWidth_1,1000,229.30000007152557
fsm:buildBaseGraph:gWidth_2,1000,0
fsm:buildBaseGraph:setStart,1000,0
computeLevelsMap:adjacency_build,1000,7.099999904632568
computeLevelsMap:bfs_levels_init,1000,0
computeLevelsMap:bfs_levels_compute,1000,7
computeLevelsMap:compute_unreachable_nodes,1000,0.10000002384185791
fsm:buildBaseGraph:computeLevelsMap,1000,13.900000095367432
computeNodePositionsWithBackbone:group_nodes_by_level,1000,0.10000002384185791
computeNodePositionsWithBackbone:find_straight_path,1000,15.399999976158142
computeNodePositionsWithBackbone:node_positioning_loop,1000,0.3999999761581421
fsm:buildBase:computeNodePositionsWithBackbone,1000,15.799999952316284
fsm:buildBase:setNodes,1000,0.10000002384185791
fsm:buildBase:setEdges,1000,41.60000002384186
fsm:buildBase:snapshotBasePos,1000,0.10000002384185791
fsm:buildBaseGraph,1000,301.8000000715256
fsm:runCollisionAvoidance,1000,0
fsm:totalRender,1000,489.5
