name,n,ms
fsm:buildBase:reset_graph,100,0
fsm:buildBaseGraph:setStart,100,0
computeLevelsMap:adjacency_build,100,0.20000004768371582
computeLevelsMap:bfs_levels_init,100,0
computeLevelsMap:bfs_levels_compute,100,0.19999992847442627
computeLevelsMap:compute_unreachable_nodes,100,0
fsm:buildBaseGraph:computeLevelsMap,100,0.3999999761581421
computeNodePositionsWithBackbone:group_nodes_by_level,100,0
computeNodePositionsWithBackbone:find_straight_path,100,0.6000000238418579
computeNodePositionsWithBackbone:node_positioning_loop,100,0.10000002384185791
fsm:buildBase:computeNodePositionsWithBackbone,100,0.7999999523162842
fsm:buildBase:setNodes,100,0
fsm:buildBase:setEdges,100,3.100000023841858
fsm:buildBase:snapshotBasePos,100,0.19999992847442627
fsm:buildBaseGraph,100,5.099999904632568
fsm:runCollisionAvoidance,100,0
fsm:rerender:ZoomTransform,100,0
fsm:rerender:makeContext,100,0
fsm:drawEdges,100,11.900000095367432
fsm:rerender:drawEdges,100,11.900000095367432
fsm:drawNodes,100,0.10000002384185791
fsm:rerender:drawNodes,100,0.10000002384185791
fsm:totalRender,100,12
