name,n,ms
fsm:buildBase:reset_graph,500,0
fsm:buildBaseHGraph:setStart,500,0
computeLevelsMap:adjacency_build,500,1.600000023841858
computeLevelsMap:bfs_levels_init,500,0
computeLevelsMap:bfs_levels_compute,500,1.2000000476837158
computeLevelsMap:compute_unreachable_nodes,500,0
fsm:buildBaseHGraph:computeLevelsMap,500,2.799999952316284
computeNodePositionsWithBackbone:group_nodes_by_level,500,0
computeNodePositionsWithBackbone:find_straight_path,500,3.200000047683716
computeNodePositionsWithBackbone:node_positioning_loop,500,0.19999992847442627
fsm:buildBase:computeNodePositionsWithBackbone,500,3.4000000953674316
fsm:buildBase:setNodes,500,0.09999990463256836
fsm:buildBase:setEdges,500,10.5
fsm:buildBase:snapshotBasePos,500,0
fsm:buildBaseHGraph,500,17.600000023841858
fsm:runCollisionAvoidance,500,0
fsm:totalRender,500,128.10000002384186
