"filename", "language", "JavaScript", "Svelte", "HTML", "XML", "JSON", "Python", "TypeScript", "CSV", "PostCSS", "comment", "blank", "total"
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n2000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n2250.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n2500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n3000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n3500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n4000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n4500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n5000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n5500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
