"filename", "language", "Svelte", "TypeScript", "Python", "CSV", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcPathWalk.ts", "TypeScript", 0, -180, 0, 0, 0, 0, 0, -1, -28, -209
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcSVGSetup.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcSubgraphCA.ts", "TypeScript", 0, -64, 0, 0, 0, 0, 0, -2, -6, -72
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/benchmarkHarness.svelte", "Svelte", 72, 0, 0, 0, 0, 0, 0, 0, 16, 88
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/createBenchmarkingGraphs.py", "Python", 0, 0, 95, 0, 0, 0, 0, 5, 16, 116
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/fsmBenchmarkViewer.svelte", "Svelte", 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/makeSyntheticFsmDS.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 3, 12, 59
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/makeSyntheticMCDS.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 2, 11, 49
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/markovBenchmarkViewer.svelte", "Svelte", 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/profiler.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n10.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n100 (1).csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n100.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n1000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n10000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n10500.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n11000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n1200.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n1400.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n1600.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n1800.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n2000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n2250.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n2500.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n3000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n3500.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n4000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n4500.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n500.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n5000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n5500.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n6000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
